Age (Months),Sex,Height (cm),Nutritional_Status
0,Female,51.2911227,normal
0,Female,41.82384969,severely stunted
0,Female,59.57541849,Tall
0,Female,49.70751019,normal
0,Female,54.2441956,normal
0,Female,51.13332934,normal
0,Female,42.03952758,severely stunted
0,Female,46.17172591,normal
0,Female,44.35772787,stunted
0,Female,40.89681229,severely stunted
0,Female,42.93027648,severely stunted
0,Female,51.87477356,normal
0,Female,55.98886258,Tall
0,Female,42.22906214,severely stunted
0,Female,55.84503567,Tall
0,Female,44.7889182,stunted
0,Female,53.82770087,normal
0,Female,45.95628448,normal
0,Female,43.53207766,severely stunted
0,Female,44.59921988,stunted
0,Female,43.57403233,severely stunted
0,Female,53.64798466,normal
0,Female,48.92307544,normal
0,Female,56.32142791,Tall
0,Female,43.59915346,severely stunted
0,Female,48.00285304,normal
0,Female,47.61649724,normal
0,Female,49.65082489,normal
0,Female,44.27316396,stunted
0,Female,46.34569227,normal
0,Female,57.46535297,Tall
0,Female,44.15690152,stunted
0,Female,56.28429389,Tall
0,Female,41.37044514,severely stunted
0,Female,47.46516324,normal
0,Female,53.90570099,normal
0,Female,52.1625727,normal
0,Female,55.60023897,Tall
0,Female,54.67778651,normal
0,Female,58.30350694,Tall
0,Female,40.54894987,severely stunted
0,Female,55.69883236,Tall
0,Female,59.53212771,Tall
0,Female,41.34235444,severely stunted
0,Female,58.64853132,Tall
0,Female,43.84173449,stunted
0,Female,52.72902302,normal
0,Female,51.04407083,normal
0,Female,44.74728978,stunted
0,Female,48.51829789,normal
0,Female,48.14117083,normal
0,Female,50.7611233,normal
0,Female,55.73190054,Tall
0,Female,57.41314353,Tall
0,Female,59.35752313,Tall
0,Female,49.29329338,normal
0,Female,58.2055692,Tall
0,Female,42.64541926,severely stunted
0,Female,59.43732555,Tall
0,Female,44.07867328,stunted
0,Female,45.19052271,stunted
0,Female,40.58080505,severely stunted
0,Female,45.81307927,normal
0,Female,59.78172432,Tall
0,Female,41.35245344,severely stunted
0,Female,49.08415316,normal
0,Female,50.88502331,normal
0,Female,59.07795209,Tall
0,Female,57.14087374,Tall
0,Female,59.46999965,Tall
0,Female,58.55893812,Tall
0,Female,49.70982233,normal
0,Female,46.08212877,normal
0,Female,58.83194818,Tall
0,Female,46.90602969,normal
0,Female,58.96521564,Tall
0,Female,56.34454059,Tall
0,Female,53.2300341,normal
0,Female,47.41349699,normal
0,Female,49.97578363,normal
0,Female,55.2541729,Tall
0,Female,56.87181135,Tall
0,Female,44.72261219,stunted
0,Female,46.47495493,normal
0,Female,55.80253224,Tall
0,Female,41.57208956,severely stunted
0,Female,57.70372364,Tall
0,Female,52.94895456,normal
0,Female,58.42254169,Tall
0,Female,59.97412875,Tall
0,Female,53.79972925,normal
0,Female,49.44840528,normal
0,Female,54.96949432,Tall
0,Female,50.34684871,normal
0,Female,53.01654349,normal
0,Female,52.30307794,normal
0,Female,53.62096719,normal
0,Female,40.63211679,severely stunted
0,Female,46.95900052,normal
0,Female,59.45575464,Tall
0,Female,44.84104383,stunted
0,Female,44.78777932,stunted
0,Female,58.99207931,Tall
0,Female,49.08563237,normal
0,Female,56.21414038,Tall
0,Female,48.08800193,normal
0,Female,59.68356456,Tall
0,Female,54.98698717,Tall
0,Female,40.51449637,severely stunted
0,Female,48.5295902,normal
0,Female,51.99322954,normal
0,Female,47.00063544,normal
0,Female,40.10376454,severely stunted
0,Female,47.87793742,normal
0,Female,56.81444398,Tall
0,Female,42.81050113,severely stunted
0,Female,42.28037921,severely stunted
0,Female,53.71330932,normal
0,Female,41.09771953,severely stunted
0,Female,46.52331595,normal
0,Female,49.1492729,normal
0,Female,48.98181562,normal
0,Female,54.59898928,normal
0,Female,52.53483018,normal
0,Female,48.70318503,normal
0,Female,49.07281634,normal
0,Female,51.97593326,normal
0,Female,58.73700504,Tall
0,Female,46.1681198,normal
0,Female,41.60418258,severely stunted
0,Female,41.95040431,severely stunted
0,Female,55.40749068,Tall
0,Female,46.45746127,normal
0,Female,56.94310704,Tall
0,Female,45.98372806,normal
0,Female,41.63055203,severely stunted
0,Female,44.04729843,stunted
0,Female,54.9523273,Tall
0,Female,46.22854969,normal
0,Female,46.13066805,normal
0,Female,44.54239068,stunted
0,Female,58.21952875,Tall
0,Female,53.4789306,normal
0,Female,56.90667974,Tall
0,Female,44.60385998,stunted
0,Female,41.28285866,severely stunted
0,Female,43.96536659,stunted
0,Female,45.23299127,stunted
0,Female,51.09133623,normal
0,Female,57.13387241,Tall
0,Female,41.72478621,severely stunted
0,Female,55.97557045,Tall
0,Female,59.59531829,Tall
0,Female,55.1422774,Tall
0,Female,57.43332042,Tall
0,Female,53.62179576,normal
0,Female,55.35014655,Tall
0,Female,58.81799242,Tall
0,Female,44.6242637,stunted
0,Female,51.54652992,normal
0,Female,50.88189048,normal
0,Female,44.62715517,stunted
0,Female,46.40508558,normal
0,Female,53.1354999,normal
0,Female,50.07632823,normal
0,Female,48.28572544,normal
0,Female,49.10519462,normal
0,Female,58.49287974,Tall
0,Female,59.64110651,Tall
0,Female,55.82679259,Tall
0,Female,42.43857644,severely stunted
0,Female,50.24509119,normal
0,Female,53.08371083,normal
0,Female,59.62523189,Tall
0,Female,49.99959063,normal
0,Female,45.63733187,normal
0,Female,44.6621712,stunted
0,Female,49.5345317,normal
0,Female,49.67096927,normal
0,Female,40.59970524,severely stunted
0,Female,43.3536332,severely stunted
0,Female,52.11924442,normal
0,Female,58.35629867,Tall
0,Female,45.10081421,stunted
0,Female,45.16602724,stunted
0,Female,46.65970079,normal
0,Female,46.39833122,normal
0,Female,59.70757725,Tall
0,Female,41.13003425,severely stunted
0,Female,53.21621151,normal
0,Female,48.77712798,normal
0,Female,41.16693889,severely stunted
0,Female,54.89769519,Tall
0,Female,44.33459921,stunted
0,Female,57.34218029,Tall
0,Female,51.75788365,normal
0,Female,47.43209038,normal
0,Female,52.48723066,normal
0,Female,49.49933924,normal
0,Female,54.00839933,normal
0,Female,56.90391537,Tall
0,Female,48.19492695,normal
0,Female,54.84114807,Tall
0,Female,51.28699504,normal
0,Female,42.3031623,severely stunted
0,Female,55.40619796,Tall
0,Female,51.42209462,normal
0,Female,46.33360106,normal
0,Female,57.56670475,Tall
0,Female,53.43832335,normal
0,Female,50.06638661,normal
0,Female,44.22169197,stunted
0,Female,51.61098918,normal
0,Female,44.16030132,stunted
0,Female,59.7632232,Tall
0,Female,42.62054307,severely stunted
0,Female,51.38154401,normal
0,Female,41.55358714,severely stunted
0,Female,58.37507115,Tall
0,Female,53.1929819,normal
0,Female,47.35340673,normal
0,Female,49.26203433,normal
0,Female,55.60527912,Tall
0,Female,40.08359418,severely stunted
0,Female,50.91071178,normal
0,Female,42.31895649,severely stunted
0,Female,48.71480676,normal
0,Female,54.87120592,Tall
0,Female,45.09993041,stunted
0,Female,52.49431498,normal
0,Female,43.20692776,severely stunted
0,Female,48.44606367,normal
0,Female,58.87938545,Tall
0,Female,46.07288312,normal
0,Female,57.35035242,Tall
0,Female,52.3068186,normal
0,Female,43.76631342,stunted
0,Female,53.25846327,normal
0,Female,53.14781302,normal
0,Female,43.72745968,stunted
0,Female,52.78404508,normal
0,Female,50.92270312,normal
0,Female,46.05207205,normal
0,Female,50.55139669,normal
0,Female,41.12085419,severely stunted
0,Female,41.10619112,severely stunted
0,Female,50.18553557,normal
0,Female,46.87422833,normal
0,Female,46.50534281,normal
0,Female,52.10414424,normal
0,Female,53.73509907,normal
0,Female,48.75015307,normal
0,Female,54.46720218,normal
0,Female,45.46776162,normal
0,Female,56.36550703,Tall
0,Female,56.89569724,Tall
0,Female,44.71342673,stunted
0,Female,44.82448549,stunted
0,Female,41.87708394,severely stunted
0,Female,42.24079794,severely stunted
0,Female,46.44578585,normal
0,Female,44.31042152,stunted
0,Female,50.36998988,normal
0,Female,40.91103941,severely stunted
0,Female,54.39158715,normal
0,Female,41.43215163,severely stunted
0,Female,59.78849138,Tall
0,Female,43.14272046,severely stunted
0,Female,42.03613852,severely stunted
0,Female,53.56303369,normal
0,Female,55.00994688,Tall
0,Female,52.76431331,normal
0,Female,46.3886684,normal
0,Female,58.26238511,Tall
0,Female,56.55365823,Tall
0,Female,46.63073609,normal
0,Female,51.70474057,normal
0,Female,58.15986091,Tall
0,Female,57.03961274,Tall
0,Female,46.07095216,normal
0,Female,56.46856151,Tall
0,Female,47.01542986,normal
0,Female,53.88684419,normal
0,Female,46.24306852,normal
0,Female,48.10994625,normal
0,Female,59.64148672,Tall
0,Female,43.5273247,severely stunted
0,Female,40.9332274,severely stunted
0,Female,45.3370917,stunted
0,Female,42.62323519,severely stunted
0,Female,52.16463829,normal
0,Female,56.74517833,Tall
0,Female,43.42404528,severely stunted
0,Female,43.66243583,stunted
0,Female,55.30654714,Tall
0,Female,41.26262319,severely stunted
0,Female,54.24004645,normal
0,Female,58.30965273,Tall
0,Female,46.45911992,normal
0,Female,45.913873100000004,normal
0,Female,47.25823935,normal
0,Female,48.12817676,normal
0,Female,44.01267332,stunted
0,Female,54.57123272,normal
0,Female,52.95050146,normal
0,Female,55.36377386,Tall
0,Female,47.39621772,normal
0,Female,40.09232633,severely stunted
0,Female,59.69776131,Tall
0,Female,59.90870249,Tall
0,Female,48.53317329,normal
0,Female,58.28882332,Tall
0,Female,59.54829917,Tall
0,Female,42.57624981,severely stunted
0,Female,55.63350482,Tall
0,Female,56.42869319,Tall
0,Female,45.03619737,stunted
0,Female,49.43422251,normal
0,Female,51.21212794,normal
0,Female,40.09245738,severely stunted
0,Female,42.35291105,severely stunted
0,Female,40.41238571,severely stunted
0,Female,42.28559213,severely stunted
0,Female,58.61486368,Tall
0,Female,41.21935655,severely stunted
0,Female,49.153438800000004,normal
0,Female,52.30956387,normal
0,Female,53.81075685,normal
0,Female,54.53988518,normal
0,Female,56.60581145,Tall
0,Female,44.87165879,stunted
0,Female,51.64273843,normal
0,Female,46.83632068,normal
0,Female,48.71009755,normal
0,Female,41.70802643,severely stunted
0,Female,58.63407746,Tall
0,Female,44.93154966,stunted
0,Female,57.91973253,Tall
0,Female,47.58274742,normal
0,Female,58.42941786,Tall
0,Female,56.31858822,Tall
0,Female,56.26236732,Tall
0,Female,43.13883958,severely stunted
0,Female,58.79962351,Tall
0,Female,44.95106153,stunted
0,Female,42.23883342,severely stunted
0,Female,44.43569848,stunted
0,Female,58.78179883,Tall
0,Female,41.13732167,severely stunted
0,Female,48.98837213,normal
0,Female,43.18361878,severely stunted
0,Female,57.94565947,Tall
0,Female,43.18560717,severely stunted
0,Female,50.28872277,normal
0,Female,47.84661713,normal
0,Female,49.39996229,normal
0,Female,46.34766001,normal
0,Female,40.51564598,severely stunted
0,Female,56.97284184,Tall
0,Female,52.30258054,normal
0,Female,53.93373785,normal
0,Female,49.43883431,normal
0,Female,52.99965351,normal
0,Female,59.85031892,Tall
0,Female,58.37289011,Tall
0,Female,56.37513661,Tall
0,Female,50.93324551,normal
0,Female,52.96038974,normal
0,Female,41.70224004,severely stunted
0,Female,59.40779656,Tall
0,Female,56.50019729,Tall
0,Female,48.02319394,normal
0,Female,47.89908058,normal
0,Female,57.87414122,Tall
0,Female,47.84285063,normal
0,Female,44.35362808,stunted
0,Female,49.53839174,normal
0,Female,41.59814004,severely stunted
0,Female,50.88526634,normal
0,Female,48.76265539,normal
0,Female,55.630674,Tall
0,Female,48.42651073,normal
0,Female,50.06329339,normal
0,Female,40.53968717,severely stunted
0,Female,49.28938708,normal
0,Female,44.65712339,stunted
0,Female,49.76339809,normal
0,Female,40.010437,severely stunted
0,Female,46.06674089,normal
0,Female,55.19333099,Tall
0,Female,55.64540935,Tall
